DATE,US HOME PRICE INDEX,GROSS DEMOSTRIC PRODUCT,HOMEOWNERSHIP RATE,HOUSING STARTS,MEDIAN SALES PRICE,MORTGAGE RATE,POPULATION,UNEMP RATE
2021-08-01,5.590692160936434,0.0,65.4,1576.0,12.92683742502675,2.8425,332489.0,1.824549292051046
2021-09-01,5.603601116570374,0.0,65.4,1560.0,12.92683742502675,2.9,332594.0,1.7578579175523736
2021-10-01,5.615930744668879,24654.603,65.5,1572.0,12.95654725342426,3.0675,332692.0,1.7047480922384253
2021-11-01,5.628523584039582,0.0,65.5,1712.0,12.95654725342426,3.0675,332790.0,1.6486586255873816
2021-12-01,5.64329971777646,0.0,65.5,1787.0,12.95654725342426,3.098,332876.0,1.589235205116581
2022-01-01,5.659206916544227,25029.116,65.4,1669.0,12.978726236135634,3.445,332918.0,1.6094379124341003
2022-02-01,5.669022796274404,0.0,65.4,1771.0,12.978726236135634,3.7625,332959.0,1.5686159179138452
2022-03-01,5.669022796274404,0.0,65.4,1713.0,12.978726236135634,4.172,333056.0,1.5260563034950492
2022-04-01,5.669022796274404,25544.273,65.8,1803.0,13.015448320740173,4.9825,333184.0,1.5260563034950492
2022-05-01,5.669022796274404,0.0,65.8,1543.0,13.015448320740173,5.23,333317.0,1.5260563034950492
2022-06-01,5.669022796274404,0.0,65.8,1561.0,13.015448320740173,5.522,333460.0,1.5260563034950492
2022-07-01,5.669022796274404,25994.639,66.0,1371.0,13.056225711649638,5.4125,333624.0,1.5040773967762742
2022-08-01,5.669022796274404,0.0,66.0,1505.0,13.056225711649638,5.2225,333799.0,1.547562508716013
2022-09-01,5.669022796274404,0.0,66.0,1463.0,13.056225711649638,6.112,333976.0,1.5040773967762742
2022-10-01,5.669022796274404,26408.405,65.9,1432.0,13.080501258809191,6.9,334141.0,1.547562508716013
2022-11-01,5.669022796274404,0.0,65.9,1427.0,13.080501258809191,6.805,334287.0,1.5260563034950492
2022-12-01,5.669022796274404,0.0,65.9,1357.0,13.080501258809191,6.364,334420.0,1.5040773967762742
2023-01-01,5.669022796274404,26813.601,66.0,1340.0,12.969214528909768,6.2725,334533.0,1.4816045409242156
2023-02-01,5.669022796274404,0.0,66.0,1436.0,12.969214528909768,6.2575,334637.0,1.5260563034950492
2023-03-01,5.669022796274404,0.0,66.0,1380.0,12.969214528909768,6.544,334753.0,1.5040773967762742
2023-04-01,5.669022796274404,27063.012,65.9,1348.0,12.944434558395074,6.3425,334880.0,1.4816045409242156
2023-05-01,5.669022796274404,0.0,65.9,1583.0,12.944434558395074,6.425,335013.0,1.547562508716013
2023-06-01,5.669022796274404,0.0,65.9,1418.0,12.944434558395074,6.714,335163.0,1.5260563034950492
2023-07-01,5.669022796274404,27623.543,66.0,1451.0,12.973865689268807,6.84,335329.0,1.5040773967762742
